"","IC1","IC2","IC3","IC4","IC5"
"BARX2",0.83695360499147,-1.44528424668136,-0.557732109009467,-1.14567819814697,0.645987436295557
"CUL7",0.807863485993955,0.528167811374349,0.173758550062324,1.46217902540292,0.728341091721656
"DSG2",1.54797483603008,-2.68794183200417,-0.612702510177491,-1.70779612452126,1.59708234933793
"FAM184B",0.726637676201279,-1.35879803580482,0.0784216132466394,-0.778723983186865,-0.773601945845736
"ROS1",1.20050817325004,1.26646296173777,-2.52621747343928,-0.73590510620265,-0.14801812536347
"CC2D2A",1.13123229174571,0.521476231747368,-0.733174749761041,0.802957027846027,3.01845150037603
"LMO3",0.950131219213591,0.73994277297664,-0.0735917753049671,-0.277723593613166,-0.328834633724324
"KITLG",2.33039107580758,0.420870643079844,0.0574223835088091,0.565445169376721,0.693923851713149
"EPN3",0.909359104394012,-1.82279117826186,-1.79208720638221,2.13751510958014,-0.393647351491526
"LTBP1",1.72211779356371,2.03112053863936,-0.344794595851611,-0.422462287489804,-0.472332653056145
"RCN1",1.30775379240299,0.970203525262257,-2.25620948693616,-1.30410314586914,0.528982761024949
"HEXB",0.888574165784419,0.19585914794942,0.503800069568988,-0.0792189781636122,-0.266492360629507
"LIMA1",1.39338647076891,-0.00463842956694573,-0.844570344820376,-0.497459796871742,-0.0388087173022001
"RAD51",0.946492289500841,0.0689419534665387,-0.616315487321408,-0.0681612248201267,0.763265623037108
"POLQ",0.88239148425223,0.104337175167453,0.0578647148143518,-0.46602411077987,-1.1344041316936
"THOC3",0.77492668093796,0.148143862330795,0.0478490134542192,-0.132408074744931,0.280631383666861
"PLEKHA5",1.22259650758992,-0.382365469193067,-0.139492813852856,-0.347911528493518,1.15911242644376
"PRSS8",0.993153049357351,-2.58731880003148,-0.479963402782064,-0.212272781555201,0.480096793311032
"MSMO1",1.21067658271662,-0.448838136024129,0.950341193043251,-0.85709373322098,-0.355154428843578
"MRTO4",0.616674533618005,0.214298755229259,-1.2210987394814,1.63717376244298,-1.68561285709921
"LAMA3",1.46912273804214,-2.19631017659833,0.362543089188153,-0.336852278597995,-0.773231867995367
"OPN3",1.04928826285133,-0.0481171796602964,-2.08957302859261,0.432006070209573,-0.332514798929955
"PTPRN",1.34580412845276,1.28115850250823,-1.43207782858412,1.94550892303642,0.363270995712906
"FOXC1",0.971452302987047,-0.00467785724506539,0.0213525884074829,1.91483084101996,0.466400173153426
"ATP9A",1.13598058256639,-0.719511675617624,-0.105287112737947,-1.3086647624047,0.175284715323426
"TRAF3IP2",0.903958167817844,0.0854641330432622,-0.413892380392653,-0.475235137049934,-0.362859701097606
"GYG2",1.29059943099999,-0.146332917889101,0.395301743129203,-1.01321630741398,-0.490699156565502
"DCBLD2",2.15963978431557,1.48424348406213,-0.0978078364563315,0.216177899596789,0.265243045283081
"USP13",0.688946764712047,0.561337563230414,-0.8788491023325,0.921513610548038,0.025161352081537
"LAMC2",2.89956952550633,-2.12822324712825,0.327509583136313,0.64104101559682,1.1680098628833
"ATP2B4",1.09769881958752,0.387490569608352,-1.07980297074012,0.908730005829236,0.272576940835482
"ZC3H11A",1.23681923243461,-2.77962925718094,1.37686103991125,-0.0675324082389737,-1.26913274290973
"NDC1",0.734401741767724,-0.000411980485179266,-0.91222351703783,-1.2130328550307,0.161462691754891
"ALDH18A1",1.38349412126136,0.0441924276584034,1.02803224387801,-0.44991191931012,0.853999028647069
"DNAJC25",0.747203971734187,-0.122063539296833,0.884026360413465,-0.129895909260363,-1.53611514255812
"PTPRU",1.11403729831415,-0.045951923688498,0.0371198931902571,1.95908051837934,-0.47425286211379
"COL11A1",1.4062733127777,2.07374125996028,-0.100528049312167,-0.152128150754782,-0.177303701039062
"QSER1",0.824674853415552,0.270859758503822,-1.53780118073677,-0.551584487929939,-0.962474624950637
"BCAT1",0.95518523447117,2.17412998505796,0.0097507035921909,0.415610081151456,-0.920100051288616
"NCKAP1",1.19867776269103,0.134262981506901,0.45031858020296,0.192550758796434,0.367676384238999
"MRPS35",0.744314965692761,-0.413333080069738,-1.20257414132281,0.160634352313054,0.09062706206815
"ZNF112",0.770924213120906,-0.094853239949019,-0.402587267981815,0.0738562607300596,1.48509274606969
